goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     253	   4691727 ns/op	   51871 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4725501 ns/op	   51869 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     256	   4679129 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     253	   4682961 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     256	   4697075 ns/op	   51877 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     256	   4709775 ns/op	   51877 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     254	   4686186 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     254	   4660165 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     255	   4697750 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     255	   4740459 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     253	   4733524 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     255	   4687970 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     250	   4733587 ns/op	  133946 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     250	   4760110 ns/op	  133946 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     250	   4806047 ns/op	  133946 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     247	   4856844 ns/op	  133953 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     249	   4809386 ns/op	  133944 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     252	   4763244 ns/op	  133942 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     252	   4735492 ns/op	  133942 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     252	   4742021 ns/op	  133943 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     250	   4793306 ns/op	  133946 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     249	   4766743 ns/op	  133948 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     254	   4698706 ns/op	   52002 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     255	   4688877 ns/op	   52001 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     253	   4737754 ns/op	   52003 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     248	   4718480 ns/op	   52007 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     254	   4726226 ns/op	   52002 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     255	   4690108 ns/op	   52001 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     254	   4699690 ns/op	   52003 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     252	   4720632 ns/op	   52004 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     255	   4690276 ns/op	   51997 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     256	   4690191 ns/op	   52001 B/op	      95 allocs/op
PASS
ok  	github.com/ponchione/shunter/subscription	216.219s
