goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4655596 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     256	   4665438 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     256	   4657108 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4695658 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     254	   4671597 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     256	   4674687 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4666127 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     252	   4678605 ns/op	   51876 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     254	   4709518 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     254	   4718534 ns/op	   51879 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     253	   4676600 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     255	   4695460 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     255	   4677445 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     255	   4670959 ns/op	   51877 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     256	   4676960 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     255	   4678638 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     255	   4664932 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24                	     254	   4678622 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     255	   4708982 ns/op	  133937 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     253	   4716050 ns/op	  133940 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     253	   4708817 ns/op	  133940 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     253	   4738659 ns/op	  133940 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     253	   4717698 ns/op	  133940 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     254	   4724927 ns/op	  133938 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     252	   4719112 ns/op	  133942 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     253	   4712283 ns/op	  133940 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     253	   4723695 ns/op	  133940 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_distinct-24              	     252	   4744901 ns/op	  133942 B/op	     367 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     255	   4696819 ns/op	   52001 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     255	   4686707 ns/op	   52001 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     254	   4705635 ns/op	   51998 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     249	   4695957 ns/op	   52006 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     256	   4690640 ns/op	   52001 B/op	      95 allocs/op
